Industry,Company_Size,Tech_Stack,Hiring_Budget,Role,Seniority_Level,Skills_Required,Years_Experience,Project_Type,Project_Timeline,Expected_Deliverables,Current_Team,Collaboration_Model,Diversity_Goals,Number_of_Hires,Hiring_Method
Healthcare,Small,"Python,Keras,NLP",164196,Data Analyst,Junior,"Python,PyTorch,Deep Learning",6,Fraud Detection,9 months,Research papers,2 ML Engineers,Siloed,At least 30% female candidates,1,Full-time
E-commerce,Small,"Python,OpenCV,PyTorch",257815,Machine Learning Engineer,Senior,"Python,Spark,AWS Glue",6,Fraud Detection,12 months,Object detection model,4 Researchers,Cross-functional,At least 1 woman per role,3,Remote
Technology,Small,"R,Python,Azure ML",189194,Data Engineer,Junior,"Python,Spark,AWS Glue",3,NLP,3 months,Medical ML Models,5 Data Scientists,Siloed,At least 1 person with disability,2,"Full-time, Remote"
EdTech,Small,"Python,Tableau,SQL",240568,Data Scientist,Mid-level,"Python,PyTorch,Deep Learning",5,Forecasting,12 months,Demand forecasting system,"1 Data Scientist, 1 PM",Cross-functional,50% gender parity,1,Full-time
E-commerce,Medium,"Python,PyTorch,GCP",161024,Data Scientist,Mid-level,"Python,Keras,NLP",4,Fraud Detection,5 months,Dashboards and reports,"1 Data Scientist, 1 PM",Siloed,Ensure diverse academic backgrounds,3,Remote
Healthcare,Large,"Python,FastAPI,SQL",240021,Data Analyst,Junior,"Python,Tableau,SQL",4,Forecasting,12 months,Object detection model,2 Data Engineers,Siloed,At least 1 person with disability,1,Contract
Technology,Medium,"R,Python,Azure ML",170186,Data Scientist,Junior,"Python,XGBoost,MySQL",6,Forecasting,4 months,Interactive dashboards,4 Researchers,Siloed,Ensure diverse academic backgrounds,2,Contract
E-commerce,Large,"Python,OpenCV,PyTorch",241289,Data Engineer,Senior,"Python,XGBoost,MySQL",4,Predictive Analytics,6 months,Forecast models,2 Data Engineers,Cross-functional,Include fresh grads,2,Full-time
Technology,Small,"Python,FastAPI,SQL",264481,AI Researcher,Senior,"R,Python,Bioinformatics",5,NLP,6 months,Medical ML Models,2 ML Engineers,Siloed,Include fresh grads,2,"Full-time, Remote"
Technology,Large,"Python,PyTorch,GCP",278706,Data Engineer,Senior,"Python,Scikit-learn,EDA",1,Forecasting,6 months,Dashboards and reports,1 BI Engineer,Cross-functional,50% gender parity,3,Remote
Manufacturing,Small,"Python,OpenCV,PyTorch",127894,Data Engineer,Senior,"Python,OpenCV,PyTorch",5,Computer Vision,4 months,Forecast models,1 Analyst,Cross-functional,Include fresh grads,2,Hybrid
Technology,Small,"Python,Scikit-learn,Azure",180612,Data Analyst,Junior,"Python,Spark,AWS Glue",5,NLP,3 months,Interactive dashboards,5 Data Scientists,Cross-functional,Ensure diverse academic backgrounds,3,Hybrid
Manufacturing,Small,"Python,Keras,NLP",238326,Computer Vision Engineer,Junior,"Python,OpenCV,PyTorch",6,Fraud Detection,4 months,Sentiment classifier,4 Researchers,Siloed,At least 1 woman per role,3,Hybrid
Healthcare,Small,"Python,Spark,AWS Glue",116784,ML Engineer,Junior,"Python,XGBoost,MySQL",5,Computer Vision,9 months,ETL pipelines,"2 Data Scientists, 1 MLOps Engineer",Cross-functional,50% gender parity,3,Full-time
E-commerce,Small,"Python,TensorFlow,AWS",186619,Data Scientist,Senior,"Python,Spark,AWS Glue",3,Fraud Detection,6 months,ETL pipelines,2 Developers,Cross-functional,50% gender parity,3,"Full-time, Remote"
Logistics,Small,"Python,Tableau,SQL",206708,Data Analyst,Junior,"Python,PyTorch,Deep Learning",6,Recommendation System,5 months,Medical ML Models,4 Researchers,Siloed,At least 1 person with disability,3,Full-time
Healthcare,Small,"R,Python,Azure ML",290896,ML Engineer,Junior,"Python,Spark,AWS Glue",2,Computer Vision,9 months,Interactive dashboards,1 Analyst,Siloed,Ensure diverse academic backgrounds,2,Hybrid
E-commerce,Small,"Python,Tableau,SQL",244264,Data Scientist,Junior,"Python,OpenCV,PyTorch",1,NLP,4 months,Dashboards and reports,4 Researchers,Siloed,At least 1 woman per role,1,Hybrid
Technology,Small,"R,Python,Azure ML",100565,Computer Vision Engineer,Mid-level,"Python,Tableau,SQL",3,Recommendation System,12 months,Object detection model,1 BI Engineer,Cross-functional,Ensure diverse academic backgrounds,2,Contract
Technology,Large,"Python,OpenCV,PyTorch",115979,ML Engineer,Junior,"Python,Scikit-learn,NLP",5,Recommendation System,9 months,Object detection model,1 Analyst,Cross-functional,Include fresh grads,1,Contract
Healthcare,Large,"Python,PyTorch,GCP",277002,Data Analyst,Mid-level,"Python,PyTorch,Deep Learning",5,Computer Vision,9 months,Demand forecasting system,"2 Data Scientists, 1 MLOps Engineer",Cross-functional,At least 1 woman per role,3,"Full-time, Remote"
Manufacturing,Medium,"Python,Keras,NLP",153545,ML Engineer,Junior,"Python,Keras,NLP",4,Computer Vision,12 months,Sentiment classifier,1 BI Engineer,Siloed,At least 1 person with disability,1,Full-time
Logistics,Large,"Python,XGBoost,MySQL",126209,Data Scientist,Senior,"Python,Spark,AWS Glue",5,Forecasting,4 months,Forecast models,5 Data Scientists,Cross-functional,None,2,Contract
Logistics,Large,"Python,Keras,NLP",260347,Machine Learning Engineer,Senior,"Python,OpenCV,PyTorch",3,Fraud Detection,3 months,Dashboards and reports,1 ML Engineer,Cross-functional,At least 30% female candidates,3,"Full-time, Remote"
Finance,Medium,"Python,Keras,NLP",258552,Data Analyst,Senior,"Python,Scikit-learn,EDA",2,Fraud Detection,12 months,Sentiment classifier,2 Developers,Siloed,None,1,Full-time
Gaming,Medium,"Python,TensorFlow,AWS",100929,ML Engineer,Junior,"Python,Keras,NLP",2,Fraud Detection,6 months,Object detection model,4 Researchers,Cross-functional,At least 30% female candidates,1,Contract
Manufacturing,Small,"Python,Scikit-learn,Azure",252701,AI Researcher,Mid-level,"Python,Pandas,SQL",1,Forecasting,5 months,Deployable chatbot,"1 Data Scientist, 1 PM",Cross-functional,50% gender parity,1,Full-time
Retail,Large,"R,Python,Azure ML",262702,AI Researcher,Junior,"Python,Pandas,SQL",2,Recommendation System,3 months,Dashboards and reports,"1 Data Scientist, 1 PM",Siloed,At least 1 person with disability,3,Contract
EdTech,Small,"Python,PyTorch,GCP",200281,Machine Learning Engineer,Mid-level,"Python,Spark,AWS Glue",2,Recommendation System,5 months,Sentiment classifier,2 Data Engineers,Cross-functional,At least 30% female candidates,3,Contract
Gaming,Medium,"Python,Keras,NLP",118198,Data Engineer,Mid-level,"Python,OpenCV,PyTorch",4,Fraud Detection,9 months,Forecast models,"2 Data Scientists, 1 MLOps Engineer",Cross-functional,None,1,"Full-time, Remote"
EdTech,Small,"Python,PyTorch,GCP",256387,Computer Vision Engineer,Mid-level,"Python,Scikit-learn,EDA",4,Predictive Analytics,9 months,Research papers,4 Researchers,Cross-functional,None,1,Hybrid
Technology,Large,"Python,OpenCV,PyTorch",280055,Data Analyst,Mid-level,"R,Python,Bioinformatics",1,Fraud Detection,5 months,Demand forecasting system,"1 Data Scientist, 1 PM",Cross-functional,50% gender parity,2,"Full-time, Remote"
EdTech,Large,"R,Python,Azure ML",185506,Computer Vision Engineer,Senior,"Python,Keras,NLP",5,Computer Vision,4 months,Medical ML Models,4 Researchers,Cross-functional,Include fresh grads,3,Remote
Gaming,Large,"Python,TensorFlow,AWS",179658,Data Engineer,Junior,"R,Python,Bioinformatics",5,Predictive Analytics,12 months,Forecast models,1 BI Engineer,Siloed,At least 1 woman per role,3,Contract
Manufacturing,Medium,"Python,FastAPI,SQL",272713,Data Scientist,Mid-level,"Python,OpenCV,PyTorch",6,Fraud Detection,9 months,Forecast models,5 Data Scientists,Cross-functional,50% gender parity,2,Contract
E-commerce,Small,"Python,TensorFlow,AWS",112114,Data Analyst,Mid-level,"Python,XGBoost,MySQL",1,Recommendation System,6 months,Demand forecasting system,2 Data Engineers,Siloed,At least 1 woman per role,2,Contract
Finance,Large,"Python,TensorFlow,AWS",296860,Data Scientist,Mid-level,"Python,Spark,AWS Glue",2,Fraud Detection,9 months,Interactive dashboards,"2 Data Scientists, 1 MLOps Engineer",Cross-functional,At least 1 person with disability,1,Hybrid
Finance,Medium,"Python,OpenCV,PyTorch",246518,ML Engineer,Mid-level,"Python,XGBoost,MySQL",6,Predictive Analytics,6 months,Object detection model,1 BI Engineer,Cross-functional,50% gender parity,2,Hybrid
EdTech,Small,"Python,Keras,NLP",236655,ML Researcher,Senior,"Python,Spark,AWS Glue",3,Recommendation System,3 months,Sentiment classifier,2 Data Engineers,Siloed,None,2,"Full-time, Remote"
Healthcare,Small,"Python,FastAPI,SQL",160623,Computer Vision Engineer,Senior,"Python,Pandas,SQL",6,Computer Vision,3 months,Medical ML Models,4 Researchers,Siloed,Include fresh grads,2,Hybrid
Technology,Small,"R,Python,Azure ML",202099,Machine Learning Engineer,Senior,"R,Python,Bioinformatics",4,NLP,5 months,Sentiment classifier,4 Researchers,Siloed,Include fresh grads,3,"Full-time, Remote"
E-commerce,Medium,"Python,Spark,AWS Glue",171548,Computer Vision Engineer,Mid-level,"Python,Scikit-learn,NLP",4,Forecasting,12 months,Medical ML Models,1 Analyst,Siloed,Ensure diverse academic backgrounds,3,"Full-time, Remote"
Technology,Medium,"Python,XGBoost,MySQL",247951,Machine Learning Engineer,Junior,"R,Python,Bioinformatics",2,Recommendation System,4 months,Deployable chatbot,1 ML Engineer,Siloed,None,1,Hybrid
